id;topicID;contentid;videolink;videoupload;showvideo;name;description;first;second
f1a435e3;;08a2c37c;https://www.youtube.com/shorts/h6kZGzuQ5Ng;;;V.3_Three Gorges Dam;;Yes;
745318aa;;08a2c37c;https://youtu.be/dcZ0BXJYlUA;;;V.80_Three Gorges Dam;;;Yes
1257ac58;;9a4991aa;https://www.youtube.com/watch?v=P5WO5tiOA_g;;;V.54_Al Stewart | “Nostradamus” (1973);;Yes;
025a9605;;25f62f5b;https://www.youtube.com/watch?v=6aN-1fqRb6A;;;V.22_Suzanne Vega | “Predictions” (1990);;Yes;Yes
41afd5e8;;26ff120d;https://www.youtube.com/shorts/G5hpvrPXstg;;;V.58_Barnum effect;;Yes;
68a3223b;;26ff120d;https://www.youtube.com/shorts/ZypKFMmgY0M;;;V.30_Barnum effect;;;Yes
35d53cd2;;b7d54404;https://www.youtube.com/shorts/HgS5__-Pt74;;;V.58_Pygmalion effect;;Yes;
5b9d1923;;b7d54404;https://www.youtube.com/watch?v=4aN5TbGW5JA;;;V.91_Pygmalion effect;;;Yes
aa51fe96;;afb7b42b;https://www.youtube.com/watch?v=-vIaXyQoLH8;;;V.97_Cold Reading;;Yes;
2f016f1e;;108fde7f;https://www.youtube.com/shorts/whXXPEEg5u8;;;V.50_Confirmation bias;;Yes;
2ca7dcdd;;108fde7f;https://youtu.be/Kho5KvPBDSw;;;V.25_Confirmation bias;;;Yes
b8716243;;ef6e6acd;https://youtu.be/8CBK7hFxtkQ;;;V.27_Self-fulfilling prophecy;;No;Yes
08cc6cfa;;ef6e6acd;https://www.youtube.com/shorts/bHXa9vazbIc;;;V.8_Self-fulfilling prophecy;;Yes;
9a276e9a;;f57e3342;https://www.youtube.com/shorts/xBLWSsjbREo;;;V.99_Unipolarity vs. Multipolarity;;Yes;
f1e2b195;;f57e3342;https://www.youtube.com/shorts/pEzjGnwq5wc;;;V.78_Unipolarity vs. Multipolarity;;No;Yes
38ea6da3;;75044d98;https://www.youtube.com/shorts/2wt6gs8NuKA;;;V.52_Aztec agricultural calendar;;Yes;
6b5ea10b;;75044d98;https://www.youtube.com/shorts/GRZOzYhLdck;;;V.8_Aztec agricultural calendar;;;Yes
9671f54e;;0fa43d72;https://www.youtube.com/shorts/fvsFMBbZaMs;;;V.33_Mayan cyclical calendars;;Yes;
c4358236;;0fa43d72;https://youtu.be/5rijwHwOy8g;;;V.89_Mayan cyclical calendars;;;Yes
94317471;;65478fd1;https://www.youtube.com/watch?v=cKlNXD36Ggs;;;V.86_Solar terms;;;Yes
e9b17dee;;65478fd1;https://www.youtube.com/shorts/fMAGwFqBowo;;;V.63_Solar terms;;Yes;
66520232;;ade2827e;https://www.youtube.com/shorts/yeBFfMiyKZ0;;;V.49_Computus;;Yes;
e5107e0f;;ec8ec5fa;https://www.youtube.com/shorts/-DKiA2_nsYU;;;V.93_Saros;;Yes;
ca8f97c9;;c742d994;https://youtu.be/MtxYf6DZSZQ;;;V.44_Metonic cycle;;Yes;
b6b911cd;;a6417ad9;https://www.youtube.com/shorts/VaS9wsSVPEs;;;V.7_Antikythera mechanism;;;
a40da5b5;;a6417ad9;https://www.youtube.com/shorts/PjfVXsd8CnM;;;V.37_Antikythera mechanism;;Yes;
705c4ddb;;a6417ad9;https://youtu.be/EZy4a5uTYH0;;;V.67_Antikythera mechanism;;;Yes
f809838e;;adb7f8e5;https://www.youtube.com/shorts/xfBPRZygE0w;;;V.40_Neo-Assyrian Empire;;Yes;
d7985e2b;;adb7f8e5;https://www.youtube.com/watch?v=PDP6A1LA_5I;;;V.93_Neo-Assyrian Empire;;;Yes
ba9f72b4;;703878ef;https://www.youtube.com/shorts/MMzngmPgBM8;;;V.75_Song Dynasty;;Yes;
